url_path,views_total,views_unique
/CARV-ICS-FORTH/frisbee,20,7
/CARV-ICS-FORTH/frisbee/tree/main/examples,6,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps,6,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/mongodb,6,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/patterns,4,1
/CARV-ICS-FORTH/frisbee/blob/main/docs/readme.assets/contextualized-visualization.png,3,2
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/cockroachdb/templates,3,1
/CARV-ICS-FORTH/frisbee/tree/main/examples/apps/opengadget3,3,1
/CARV-ICS-FORTH/frisbee/blob/main/examples/apps/cockroachdb/templates/server.yml,2,1
/CARV-ICS-FORTH/frisbee/blob/main/examples/apps/cockroachdb/templates/telemetry.yml,2,1
