time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-19 00:00:00+00:00,3,3,,
2025-11-20 00:00:00+00:00,3,3,1.0,1.0
2025-11-21 00:00:00+00:00,6,5,,
2025-11-22 00:00:00+00:00,3,3,,
2025-11-23 00:00:00+00:00,6,6,1.0,1.0
2025-11-24 00:00:00+00:00,31,28,3.0,3.0
2025-11-25 00:00:00+00:00,1,1,,
2025-11-26 00:00:00+00:00,8,8,,
2025-11-27 00:00:00+00:00,8,8,,
2025-11-28 00:00:00+00:00,14,13,3.0,3.0
2025-11-29 00:00:00+00:00,178,34,1.0,1.0
2025-11-30 00:00:00+00:00,16,15,1.0,1.0
2025-12-01 00:00:00+00:00,58,21,,
2025-12-02 00:00:00+00:00,30,13,6.0,1.0
