time_iso8601,stars_cumulative
2021-10-07 00:00:00+00:00,1
2021-10-08 00:00:00+00:00,4
2021-10-09 00:00:00+00:00,5
2021-10-10 00:00:00+00:00,6
2021-10-12 00:00:00+00:00,10
2021-10-13 00:00:00+00:00,12
2021-10-14 00:00:00+00:00,13
2021-10-15 00:00:00+00:00,14
2021-10-21 00:00:00+00:00,15
2021-10-22 00:00:00+00:00,16
2021-10-29 00:00:00+00:00,17
2021-11-01 00:00:00+00:00,19
2021-11-07 00:00:00+00:00,21
2021-11-10 00:00:00+00:00,22
2021-11-13 00:00:00+00:00,23
2021-12-21 00:00:00+00:00,24
2022-01-25 00:00:00+00:00,25
2022-01-30 00:00:00+00:00,26
2022-02-06 00:00:00+00:00,28
2022-05-08 00:00:00+00:00,30
2022-05-10 00:00:00+00:00,31
2022-06-22 00:00:00+00:00,32
2022-07-11 00:00:00+00:00,33
2022-07-18 00:00:00+00:00,34
2022-09-05 00:00:00+00:00,35
2022-09-12 00:00:00+00:00,36
2022-09-13 00:00:00+00:00,37
2022-09-27 00:00:00+00:00,38
2022-10-28 00:00:00+00:00,39
2023-01-18 00:00:00+00:00,40
2023-05-08 00:00:00+00:00,42
2023-07-18 00:00:00+00:00,43
2023-08-02 00:00:00+00:00,44
2023-10-29 00:00:00+00:00,45
2023-12-17 00:00:00+00:00,46
