time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-04 00:00:00+00:00,29,23,1,1
2022-10-05 00:00:00+00:00,19,16,22,2
2022-10-06 00:00:00+00:00,7,6,41,1
2022-10-07 00:00:00+00:00,77,43,63,1
2022-10-08 00:00:00+00:00,68,39,10,2
2022-10-09 00:00:00+00:00,19,15,2,1
2022-10-10 00:00:00+00:00,1,1,18,4
2022-10-11 00:00:00+00:00,12,8,40,2
2022-10-12 00:00:00+00:00,9,5,31,1
2022-10-13 00:00:00+00:00,150,73,12,2
2022-10-14 00:00:00+00:00,306,101,45,3
2022-10-15 00:00:00+00:00,165,79,2,2
2022-10-16 00:00:00+00:00,34,26,1,1
2022-10-17 00:00:00+00:00,83,43,65,1
2022-10-18 00:00:00+00:00,155,82,234,2
2022-10-19 00:00:00+00:00,132,71,34,2
2022-10-20 00:00:00+00:00,98,54,18,2
2022-10-21 00:00:00+00:00,28,20,47,4
2022-10-22 00:00:00+00:00,62,36,4,2
2022-10-23 00:00:00+00:00,60,30,7,5
2022-10-24 00:00:00+00:00,25,19,15,3
2022-10-25 00:00:00+00:00,8,4,1,1
2022-10-26 00:00:00+00:00,2,2,12,1
2022-10-27 00:00:00+00:00,4,4,11,1
2022-10-28 00:00:00+00:00,4,4,6,1
2022-10-29 00:00:00+00:00,32,21,52,1
2022-10-30 00:00:00+00:00,62,40,16,2
2022-10-31 00:00:00+00:00,64,39,15,1
2022-11-01 00:00:00+00:00,19,15,10,1
2022-11-02 00:00:00+00:00,4,3,11,2
2022-11-03 00:00:00+00:00,111,63,6,1
2022-11-04 00:00:00+00:00,123,66,2,1
2022-11-05 00:00:00+00:00,39,29,0,0
2022-11-06 00:00:00+00:00,2,2,6,1
2022-11-07 00:00:00+00:00,5,5,1,1
2022-11-08 00:00:00+00:00,7,7,0,0
2022-11-09 00:00:00+00:00,6,6,0,0
2022-11-10 00:00:00+00:00,4,3,52,4
2022-11-11 00:00:00+00:00,4,3,5,1
2022-11-12 00:00:00+00:00,3,3,1,1
2022-11-13 00:00:00+00:00,3,3,6,1
2022-11-14 00:00:00+00:00,4,4,4,3
2022-11-15 00:00:00+00:00,2,2,34,1
2022-11-16 00:00:00+00:00,2,2,6,1
2022-11-17 00:00:00+00:00,2,2,13,4
2022-11-18 00:00:00+00:00,3,3,0,0
2022-11-19 00:00:00+00:00,137,66,0,0
2022-11-20 00:00:00+00:00,304,88,10,2
2022-11-21 00:00:00+00:00,241,90,2,2
2022-11-22 00:00:00+00:00,76,45,9,1
2022-11-23 00:00:00+00:00,5,3,0,0
2022-11-24 00:00:00+00:00,27,23,3,2
2022-11-25 00:00:00+00:00,123,60,0,0
2022-11-26 00:00:00+00:00,126,64,6,1
2022-11-27 00:00:00+00:00,83,48,0,0
2022-11-28 00:00:00+00:00,20,16,6,4
2022-11-29 00:00:00+00:00,2,2,24,4
2022-11-30 00:00:00+00:00,111,55,18,2
2022-12-01 00:00:00+00:00,120,60,7,3
2022-12-02 00:00:00+00:00,42,29,2,1
2022-12-03 00:00:00+00:00,1,1,2,1
2022-12-04 00:00:00+00:00,7,4,1,1
2022-12-05 00:00:00+00:00,140,79,37,1
2022-12-06 00:00:00+00:00,304,98,10,3
2022-12-07 00:00:00+00:00,305,102,3,1
2022-12-08 00:00:00+00:00,284,96,1,1
2022-12-09 00:00:00+00:00,95,62,1,1
2022-12-10 00:00:00+00:00,78,39,0,0
2022-12-11 00:00:00+00:00,66,38,0,0
2022-12-12 00:00:00+00:00,113,57,1,1
2022-12-13 00:00:00+00:00,127,63,3,1
2022-12-14 00:00:00+00:00,105,61,10,2
2022-12-15 00:00:00+00:00,87,61,3,1
2022-12-16 00:00:00+00:00,99,69,0,0
2022-12-17 00:00:00+00:00,120,71,1,1
2022-12-18 00:00:00+00:00,120,75,0,0
2022-12-19 00:00:00+00:00,119,82,42,4
2022-12-20 00:00:00+00:00,122,71,0,0
2022-12-21 00:00:00+00:00,41,35,0,0
2022-12-22 00:00:00+00:00,3,3,1,1
2022-12-23 00:00:00+00:00,4,4,6,3
2022-12-24 00:00:00+00:00,4,4,1,1
2022-12-25 00:00:00+00:00,17,17,0,0
2022-12-26 00:00:00+00:00,123,74,0,0
2022-12-27 00:00:00+00:00,119,76,0,0
2022-12-28 00:00:00+00:00,42,38,1,1
2022-12-29 00:00:00+00:00,7,5,0,0
2022-12-30 00:00:00+00:00,1,1,0,0
2022-12-31 00:00:00+00:00,2,2,19,2
2023-01-01 00:00:00+00:00,2,2,4,1
2023-01-02 00:00:00+00:00,2,2,3,1
2023-01-03 00:00:00+00:00,7,5,1,1
2023-01-04 00:00:00+00:00,53,39,1,1
2023-01-05 00:00:00+00:00,60,42,0,0
2023-01-06 00:00:00+00:00,138,80,0,0
2023-01-07 00:00:00+00:00,142,77,1,1
2023-01-08 00:00:00+00:00,135,74,0,0
2023-01-09 00:00:00+00:00,88,57,0,0
2023-01-10 00:00:00+00:00,23,21,17,1
2023-01-11 00:00:00+00:00,23,23,6,2
2023-01-12 00:00:00+00:00,180,95,77,2
2023-01-13 00:00:00+00:00,227,99,18,4
2023-01-14 00:00:00+00:00,272,123,0,0
2023-01-15 00:00:00+00:00,273,121,41,1
